side,entry_ts,exit_ts,entry_price,exit_price,gross_ret,net_ret,net_pct,bars,win
short,2025-01-12 12:00:00,2025-01-13 12:00:00,187.03,175.22,0.06740098162310248,0.06654723162196108,6.654723162196108,24,True
long,2025-01-14 02:00:00,2025-01-15 02:00:00,183.39,187.3,0.02132068269807519,0.02050378956322607,2.050378956322607,24,True
long,2025-01-15 15:00:00,2025-01-16 15:00:00,196.52,209.07,0.06386118461225321,0.06301026588235303,6.301026588235303,24,True
short,2025-01-17 04:00:00,2025-01-18 21:00:00,212.91,252.59,-0.1570925214774932,-0.15776671259511454,-15.776671259511454,41,False
long,2025-01-19 10:00:00,2025-01-20 10:00:00,284.44,259.27,-0.08848966390099855,-0.08921872632822381,-8.921872632822382,24,False
long,2025-01-20 23:00:00,2025-01-22 01:00:00,242.19,252.12,0.04100086708782369,0.04016823295429228,4.016823295429228,26,True
long,2025-01-22 14:00:00,2025-01-23 14:00:00,256.09,251.42,-0.018235776484829547,-0.019021030781365744,-1.9021030781365744,24,False
long,2025-01-24 03:00:00,2025-01-25 14:00:00,252.23,251.02,-0.004797208896641925,-0.005593211897077954,-0.5593211897077954,35,False
short,2025-01-26 03:00:00,2025-01-27 03:00:00,258.42,235.8,0.09592875318066163,0.0950521855267179,9.50521855267179,24,True
short,2025-01-27 16:00:00,2025-01-28 16:00:00,228.92,234.38,-0.02329550302926875,-0.02407671035412573,-2.407671035412573,24,False
long,2025-01-29 05:00:00,2025-01-30 08:00:00,230.88,239.67,0.038071725571725556,0.03724143428274451,3.724143428274451,27,True
short,2025-01-30 21:00:00,2025-01-31 22:00:00,240.51,231.21,0.04022317373815998,0.039391161634877214,3.9391161634877214,25,True
long,2025-02-01 11:00:00,2025-02-06 22:00:00,228.11,190.69,-0.16404366314497398,-0.16471229446144398,-16.4712294461444,131,False
long,2025-02-07 12:00:00,2025-02-14 05:00:00,198.56,195.49,-0.015461321514907311,-0.01624879493150666,-1.624879493150666,161,False
long,2025-02-14 18:00:00,2025-02-15 18:00:00,202.73,194.83,-0.03896808563113485,-0.03973675739752358,-3.973675739752358,24,False
short,2025-02-16 07:00:00,2025-02-17 07:00:00,192.89,181.35,0.06363385718224435,0.06278312027791566,6.278312027791566,24,True
long,2025-02-17 20:00:00,2025-02-18 22:00:00,178.49,167.78,-0.06000336153285901,-0.06075520844417048,-6.075520844417048,26,False
long,2025-02-19 11:00:00,2025-02-21 12:00:00,173.92,178.21,0.024666513339466567,0.023846944075437193,2.3846944075437193,49,True
long,2025-02-22 01:00:00,2025-02-23 01:00:00,171.88,171.1,-0.004538049802187527,-0.00533426008843374,-0.533426008843374,24,False
short,2025-02-23 14:00:00,2025-02-24 14:00:00,168.78,155.59,0.08477408573815803,0.08390644003342151,8.390644003342151,24,True
long,2025-02-25 03:00:00,2025-02-28 08:00:00,138.95,131.03,-0.05699892047499089,-0.057753170458438086,-5.775317045843808,77,False
long,2025-02-28 21:00:00,2025-03-01 21:00:00,147.71,142.61,-0.03452711393947594,-0.035299337772662476,-3.5299337772662476,24,False
long,2025-03-02 10:00:00,2025-03-03 19:00:00,143.83,141.87,-0.013627198776333227,-0.014416139197663824,-1.4416139197663824,33,False
long,2025-03-04 08:00:00,2025-03-05 12:00:00,137.72,146.78,0.06578565204763298,0.06493319405169928,6.493319405169928,28,True
long,2025-03-06 01:00:00,2025-03-07 05:00:00,147.18,143.18,-0.027177605652942027,-0.027955707916836547,-2.7955707916836547,28,False
short,2025-03-07 18:00:00,2025-03-08 18:00:00,149.63,137.75,0.08624319419237736,0.08537437343593468,8.537437343593467,24,True
short,2025-03-09 08:00:00,2025-03-10 10:00:00,139.22,127.67,0.09046761181170204,0.08959541219707057,8.959541219707056,26,True
long,2025-03-10 23:00:00,2025-03-14 19:00:00,118.32,134.28,0.1348884381338744,0.13398070896551761,13.398070896551761,92,True
short,2025-03-15 08:00:00,2025-03-16 08:00:00,132.97,134.67,-0.012623449914605955,-0.013413193174426241,-1.3413193174426241,24,False
long,2025-03-16 21:00:00,2025-03-19 17:00:00,126.52,130.23,0.029323427126145996,0.02850013307619359,2.850013307619359,68,True
short,2025-03-20 06:00:00,2025-03-21 06:00:00,134.8,128.12,0.05213862004370906,0.05129707748985335,5.129707748985335,24,True
long,2025-03-21 19:00:00,2025-03-22 23:00:00,128.24,128.51,0.002105427323767728,0.0013039033187771665,0.13039033187771665,28,True
long,2025-03-23 12:00:00,2025-03-24 12:00:00,133.26,143.17,0.0743659012456852,0.07350658042323288,7.350658042323288,24,True
short,2025-03-25 01:00:00,2025-03-26 08:00:00,140.2,144.39,-0.029018630099037268,-0.029795259837938737,-2.9795259837938737,31,False
long,2025-03-26 21:00:00,2025-03-29 04:00:00,137.43,128.65,-0.06388706978097947,-0.06463581034708576,-6.463581034708577,55,False
long,2025-03-29 17:00:00,2025-04-01 02:00:00,124.51,126.24,0.013894466307927011,0.013083512957995369,1.308351295799537,57,True
long,2025-04-01 17:00:00,2025-04-03 04:00:00,127.29,120.3,-0.05491397596040548,-0.05566989356587326,-5.566989356587326,35,False
long,2025-04-03 17:00:00,2025-04-06 08:00:00,114.22,119.54,0.04657678164944845,0.04573968767641401,4.573968767641401,63,True
long,2025-04-06 21:00:00,2025-04-10 09:00:00,106.94,114.86,0.07406022068449603,0.07320114435758374,7.320114435758374,84,True
short,2025-04-10 22:00:00,2025-04-12 18:00:00,112.66,130.92,-0.1394744882370913,-0.1401627709624197,-14.01627709624197,44,False
short,2025-04-13 07:00:00,2025-04-14 07:00:00,128.55,132.3,-0.028344671201814053,-0.029121839999999954,-2.9121839999999954,24,False
long,2025-04-14 20:00:00,2025-04-17 20:00:00,130.22,134.91,0.036015972968822085,0.03518732595300267,3.518732595300267,72,True
short,2025-04-18 09:00:00,2025-04-19 09:00:00,134.73,139.37,-0.03329267417665216,-0.03406588536413857,-3.406588536413857,24,False
long,2025-04-19 22:00:00,2025-04-20 22:00:00,139.62,136.78,-0.020340925368858342,-0.02112449588311127,-2.112449588311127,24,False
long,2025-04-21 11:00:00,2025-04-23 06:00:00,138.99,150.72,0.0843945607597667,0.08352721861428858,8.352721861428858,43,True
short,2025-04-23 19:00:00,2025-04-25 11:00:00,150.16,154.75,-0.029660743134087286,-0.030436859285298823,-3.0436859285298823,40,False
long,2025-04-26 00:00:00,2025-04-27 00:00:00,151.47,149.67,-0.01188354129530611,-0.012673876363636372,-1.2673876363636372,24,False
long,2025-04-27 13:00:00,2025-04-29 14:00:00,149.05,148.25,-0.0053673264005368315,-0.006162873398188551,-0.6162873398188551,49,False
short,2025-04-30 03:00:00,2025-05-01 03:00:00,148.17,148.71,-0.00363122856566489,-0.004428164163808868,-0.44281641638088676,24,False
long,2025-05-01 16:00:00,2025-05-02 19:00:00,151.66,148.08,-0.023605433205855064,-0.024386392636159604,-2.4386392636159604,27,False
short,2025-05-03 08:00:00,2025-05-04 08:00:00,147.89,145.32,0.017685108725571164,0.016871123468208182,1.6871123468208182,24,True
long,2025-05-05 00:00:00,2025-05-06 00:00:00,145.16,146.13,0.006682281620281172,0.005877096864150166,0.5877096864150166,24,True
short,2025-05-06 13:00:00,2025-05-07 13:00:00,141.93,146.86,-0.03356938580961466,-0.03434237567206855,-3.434237567206855,24,False
long,2025-05-08 02:00:00,2025-05-09 02:00:00,149.82,162.52,0.08476838873314652,0.08390074758510213,8.390074758510213,24,True
long,2025-05-09 15:00:00,2025-05-11 03:00:00,170.75,175.86,0.02992679355783312,0.029103016911274038,2.910301691127404,36,True
short,2025-05-11 16:00:00,2025-05-12 21:00:00,170.54,172.69,-0.01245005501187102,-0.013239936959870247,-1.3239936959870247,29,False
long,2025-05-13 10:00:00,2025-05-16 22:00:00,174.06,167.44,-0.038032862231414444,-0.03880228202688718,-3.880228202688718,84,False
long,2025-05-17 11:00:00,2025-05-19 13:00:00,167.6,162.68,-0.02935560859188535,-0.030131968801909048,-3.013196880190905,50,False
long,2025-05-20 02:00:00,2025-05-22 14:00:00,170.61,178.77,0.04782838051696858,0.04699028546509587,4.699028546509587,60,True
short,2025-05-23 03:00:00,2025-05-24 03:00:00,185.0,175.11,0.05647878476386259,0.055633770772657076,5.563377077265708,24,True
long,2025-05-24 16:00:00,2025-05-27 00:00:00,176.38,174.13,-0.012756548361492204,-0.013546185163850644,-1.3546185163850644,56,False
long,2025-05-27 13:00:00,2025-05-28 13:00:00,177.68,172.59,-0.02864700585321933,-0.029423932832057575,-2.9423932832057575,24,False
long,2025-05-29 02:00:00,2025-05-30 02:00:00,175.02,165.1,-0.0566792366586677,-0.05743374233801857,-5.743374233801857,24,False
long,2025-05-30 15:00:00,2025-05-31 17:00:00,161.23,155.67,-0.034484897351609534,-0.035257154951311764,-3.5257154951311764,26,False
long,2025-06-01 06:00:00,2025-06-02 13:00:00,154.84,152.24,-0.01679152673727713,-0.017577936202531452,-1.7577936202531452,31,False
short,2025-06-03 02:00:00,2025-06-04 02:00:00,159.85,156.05,0.024351169496956038,0.023531852457545632,2.3531852457545632,24,True
long,2025-06-04 15:00:00,2025-06-06 10:00:00,157.13,148.55,-0.05460446763826121,-0.05536063280086534,-5.536063280086534,43,False
short,2025-06-06 23:00:00,2025-06-07 23:00:00,147.83,150.06,-0.014860722377715518,-0.015648676177528853,-1.5648676177528853,24,False
long,2025-06-08 12:00:00,2025-06-10 04:00:00,149.54,159.3,0.06526681824261082,0.0644147752307076,6.44147752307076,40,True
short,2025-06-10 17:00:00,2025-06-12 00:00:00,158.25,160.82,-0.01598059942793184,-0.016767657505285305,-1.6767657505285305,31,False
long,2025-06-12 13:00:00,2025-06-13 13:00:00,158.8,145.29,-0.08507556675062988,-0.08580735990931998,-8.580735990931998,24,False
short,2025-06-14 02:00:00,2025-06-15 02:00:00,146.5,145.54,0.00659612477669369,0.005791008932252373,0.5791008932252373,24,True
short,2025-06-15 15:00:00,2025-06-16 15:00:00,150.84,156.58,-0.03665857708519615,-0.037429096088900216,-3.7429096088900216,24,False
long,2025-06-17 04:00:00,2025-06-20 01:00:00,153.06,147.12,-0.0388083104664837,-0.03957711002744002,-3.957711002744002,69,False
short,2025-06-20 14:00:00,2025-06-21 19:00:00,143.99,137.28,0.04887820512820529,0.04803927038461553,4.803927038461553,29,True
long,2025-06-22 08:00:00,2025-06-24 00:00:00,134.91,143.34,0.062486101845675046,0.061636282961974986,6.163628296197499,40,True
short,2025-06-24 13:00:00,2025-06-25 13:00:00,144.03,147.37,-0.02266404288525481,-0.023445755277193392,-2.344575527719339,24,False
long,2025-06-26 02:00:00,2025-06-28 09:00:00,146.23,147.2,0.0066333857621554415,0.005828240114887473,0.5828240114887473,55,True
